"HAMMERSMITH CEMETERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,28,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.24,2.04,2.39,1.26,2.65,1.98,2.33,2.02,3.36,0.89,2.66,
February,0.43,0.16,2.16,2.80,0.58,3.29,2.95,2.60,1.56,0.42,0.56,
March,1.08,1.11,1.79,2.21,0.70,0.69,0.19,2.63,1.01,0.01,1.56,
April,2.79,1.23,2.72,1.34,3.15,1.57,2.83,1.83,1.27,1.14,1.69,
May,2.09,1.04,0.80,2.25,3.18,2.19,2.23,1.20,2.14,1.02,2.50,
June,1.80,0.23,1.12,0.33,2.68,0.09,3.58,2.83,2.05,0.75,1.55,
July,3.69,0.13,4.06,2.90,3.35,3.67,1.47,4.39,2.12,1.49,2.00,
August,1.56,1.42,1.97,1.65,2.65,2.33,1.35,3.65,2.67,2.15,2.60,
September,2.82,2.02,1.73,1.25,3.39,2.32,1.17,4.45,0.85,0.16,2.69,
October,1.06,0.81,0.90,5.44,3.66,2.83,2.31,1.28,3.44,2.25,0.93,
November,1.25,1.88,1.33,1.42,2.78,1.52,4.98,2.13,1.86,5.16,3.42,
December,1.95,1.14,3.21,2.21,3.17,2.77,0.28,3.44,2.51,3.78,1.68,
Total,22.76,13.21,24.18,25.06,31.94,25.25,25.67,32.45,24.84,19.22,23.84,
Calc annual,22.76,13.21,24.18,25.06,31.94,25.25,25.67,32.45,24.84,19.22,23.84,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,
