"SOUTH HIGH HOLM ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.50,2.24,4.15,,,,,,,,,
February,2.78,0.38,2.43,,,,,,,,,
March,1.99,0.78,3.66,,,,,,,,,
April,5.44,1.13,1.45,,,,,,,,,
May,2.64,1.31,0.63,,,,,,,,,
June,1.30,0.35,1.46,,,,,,,,,
July,2.15,0.23,5.43,,,,,,,,,
August,1.64,3.88,2.72,,,,,,,,,
September,1.10,0.46,2.89,,,,,,,,,
October,1.32,1.32,1.95,,,,,,,,,
November,0.41,1.78,,,,,,,,,,
December,3.39,1.77,,,,,,,,,,
Total,26.66,15.63,,,,,,,,,,
Calc annual,26.66,15.63,26.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
