"SALISBURY (ATHERTON HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1510,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.99,2.80,4.07,1.30,3.44,3.22,4.76,2.64,5.03,1.33,4.48,
February,1.01,0.36,3.11,5.37,0.28,4.58,1.77,4.32,2.10,0.98,1.13,
March,2.18,1.40,2.25,1.88,1.32,0.25,0.70,3.52,2.53,0.10,1.16,
April,4.59,0.74,3.87,3.23,3.56,2.33,4.03,1.82,1.67,0.72,2.14,
May,1.40,1.53,0.80,1.82,4.93,5.15,2.06,0.68,1.54,1.72,1.25,
June,2.18,0.46,0.94,0.54,2.06,0.01,2.39,2.55,2.07,1.13,0.50,
July,5.81,0.72,4.44,0.84,3.55,3.25,1.73,3.00,1.78,1.09,2.17,
August,1.56,1.57,3.83,2.62,2.07,2.26,1.29,2.99,1.91,1.02,3.50,
September,1.16,1.31,1.87,2.15,4.30,3.83,1.02,5.16,2.01,0.37,3.29,
October,3.09,1.01,1.36,5.77,4.58,3.83,2.44,2.06,5.88,4.63,1.87,
November,1.96,2.26,1.93,2.16,3.55,2.38,8.14,2.89,3.55,8.47,4.49,
December,2.85,1.72,4.08,3.72,5.31,4.03,0.47,3.63,2.60,8.16,3.81,
Total,31.78,15.88,32.55,31.40,38.95,35.12,30.80,35.26,32.67,29.72,29.79,
Calc annual,31.78,15.88,32.55,31.40,38.95,35.12,30.80,35.26,32.67,29.72,29.79,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
