"CARMUNNOCK (CARNBOOTH)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5203,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.22,9.16,3.97,4.68,4.46,5.56,5.58,6.49,10.83,1.42,6.97,
February,6.62,1.03,4.51,4.12,0.69,4.73,4.55,2.19,5.01,1.96,0.12,
March,4.68,6.82,2.57,1.92,0.99,2.83,3.48,2.95,3.16,0.75,3.36,
April,2.00,0.94,2.19,3.77,2.38,5.23,2.66,2.74,1.32,1.84,1.06,
May,5.87,2.31,3.23,1.87,4.85,7.56,2.55,1.92,2.11,3.58,1.73,
June,1.88,0.51,1.83,1.32,2.11,0.38,2.33,3.99,4.83,2.55,2.70,
July,3.37,3.40,2.80,4.12,3.46,2.05,3.41,4.06,2.46,3.06,3.43,
August,5.34,6.61,2.38,5.86,3.08,3.65,2.77,5.46,3.48,5.29,5.01,
September,2.23,2.28,1.74,6.32,5.39,3.51,3.09,7.36,3.27,1.10,4.80,
October,1.40,5.57,2.28,6.45,3.20,3.52,5.11,5.85,7.03,5.67,6.66,
November,4.10,2.52,2.53,3.68,3.50,0.96,7.11,4.91,5.09,7.35,5.68,
December,4.11,8.19,4.17,3.49,7.10,4.02,1.52,1.32,4.14,9.77,3.46,
Total,47.82,49.34,34.20,47.60,41.21,44.00,44.16,49.24,52.73,44.34,44.98,
Calc annual,47.82,49.34,34.20,47.60,41.21,44.00,44.16,49.24,52.73,44.34,44.98,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,
