"SHEFFIELD STUMPERLOW HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.47,4.26,5.26,2.13,2.53,,,,,,,
February,3.69,0.29,3.71,7.00,1.45,,,,,,,
March,2.77,2.66,2.28,2.25,0.95,,,,,,,
April,5.70,1.40,4.07,2.84,2.38,,,,,,,
May,3.50,1.53,0.89,3.95,4.39,,,,,,,
June,3.86,0.25,1.40,0.77,2.05,,,,,,,
July,5.37,0.70,4.07,4.34,3.46,,,,,,,
August,1.12,5.20,8.12,3.74,3.87,,,,,,,
September,1.50,1.00,3.00,3.02,4.29,,,,,,,
October,2.39,2.50,1.12,2.84,4.86,,,,,,,
November,1.26,2.08,2.14,6.08,2.38,,,,,,,
December,4.00,4.95,4.56,2.99,3.44,,,,,,,
Total,39.63,26.82,40.62,41.95,36.05,,,,,,,
Calc annual,39.63,26.82,40.62,41.95,36.05,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
