"HEATHFIELD TOTTINGWORTH PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,561,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.95,3.38,4.61,1.62,2.90,4.49,4.95,3.02,6.87,1.45,4.84,
February,0.69,0.80,2.77,4.53,1.18,4.67,2.94,4.40,2.01,0.93,1.54,
March,2.35,2.24,2.35,2.43,2.05,1.13,0.50,4.99,2.54,0.15,1.80,
April,3.18,1.67,3.64,3.54,3.64,3.33,4.14,2.18,2.73,1.00,2.12,
May,1.52,2.61,0.88,4.39,4.93,4.05,3.00,0.73,1.79,2.54,2.96,
June,1.58,0.01,1.93,0.51,2.08,0.22,3.93,7.20,4.06,1.65,1.07,
July,5.48,0.46,3.38,2.45,4.60,5.21,2.60,3.65,1.61,1.87,3.42,
August,1.70,1.05,3.36,2.50,5.28,2.30,2.52,5.81,1.62,2.90,4.31,
September,4.09,0.84,2.92,3.27,3.61,3.28,0.93,5.53,0.48,1.04,4.26,
October,2.20,0.86,1.62,7.26,6.39,5.30,2.75,3.71,9.15,4.69,2.48,
November,1.86,1.72,1.99,2.45,4.29,4.16,8.42,4.16,5.53,10.28,6.33,
December,3.98,2.57,3.86,4.20,5.93,5.22,0.53,5.02,4.23,8.75,3.85,
Total,32.58,18.21,33.31,39.15,46.88,43.36,37.21,50.40,42.62,37.25,38.98,
Calc annual,32.58,18.21,33.31,39.15,46.88,43.36,37.21,50.40,42.62,37.25,38.98,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,
