"COLNEY HEATH (TYTTENHANGER P.S.)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,921,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,1.74,3.73,1.46,2.81,
February,,,,,,,,3.63,1.88,0.76,0.98,
March,,,,,,,,2.48,1.92,0.02,1.37,
April,,,,,,,,1.78,0.89,1.27,2.14,
May,,,,,,,,1.15,1.23,1.93,2.23,
June,,,,,,,,3.42,2.22,1.06,0.61,
July,,,,,,,,2.30,2.19,2.00,2.87,
August,,,,,,,,3.70,1.95,0.68,3.96,
September,,,,,,,,5.09,1.19,0.43,3.28,
October,,,,,,,,2.56,3.76,3.48,1.09,
November,,,,,,,,2.69,2.61,6.51,3.97,
December,,,,,,,,3.49,2.43,5.50,2.58,
Total,,,,,,,,34.03,26.00,25.10,27.89,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.03,26.00,25.10,27.89,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,
