"WORPLESDON HILL PINEWOOD WOKING",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.33,2.38,2.90,1.53,,,,,,,,
February,0.22,0.26,2.35,3.88,,,,,,,,
March,1.37,1.12,1.99,2.93,,,,,,,,
April,3.40,0.64,2.81,2.33,,,,,,,,
May,0.52,1.56,0.68,2.60,,,,,,,,
June,1.17,0.18,0.98,0.26,,,,,,,,
July,4.26,0.40,3.01,1.33,,,,,,,,
August,1.32,0.69,2.49,1.54,,,,,,,,
September,2.01,1.25,1.48,1.40,,,,,,,,
October,1.65,0.81,0.91,5.73,,,,,,,,
November,0.91,1.74,1.36,1.51,,,,,,,,
December,2.12,1.31,3.69,2.32,,,,,,,,
Total,21.28,12.34,24.65,27.36,,,,,,,,
Calc annual,21.28,12.34,24.65,27.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
