"WANDSWORTH STREATHAM SOUTHWARK W.W. CONYER'S RD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.82,1.41,1.95,1.17,2.84,1.52,1.92,1.71,3.00,0.86,2.53,
February,0.65,0.14,1.78,2.88,0.47,2.87,2.54,3.68,1.31,0.66,0.58,
March,1.34,1.01,1.43,1.97,0.54,0.81,0.19,2.21,1.72,0.09,1.66,
April,2.21,1.27,2.47,1.46,3.65,1.96,4.13,1.79,1.47,1.04,1.49,
May,0.55,1.70,0.70,2.22,3.02,1.62,1.13,1.01,2.87,1.25,2.76,
June,2.87,0.27,1.38,0.36,2.18,0.10,3.69,3.69,2.61,0.86,1.69,
July,3.08,0.08,3.48,2.57,3.66,3.77,1.61,2.86,2.25,1.39,1.93,
August,1.70,0.88,2.24,1.94,2.71,2.32,1.33,4.23,2.55,1.98,2.64,
September,3.28,1.56,1.66,1.12,2.87,2.09,1.61,3.92,0.92,0.13,3.36,
October,0.70,0.87,1.01,5.07,3.52,2.47,2.32,1.06,3.69,2.61,1.03,
November,0.97,1.91,1.09,1.60,2.89,1.56,4.63,2.45,1.63,5.25,3.76,
December,1.64,0.89,2.89,2.05,2.60,2.50,0.36,3.85,2.50,4.10,1.46,
Total,20.81,11.99,22.08,24.41,30.95,23.59,25.46,32.46,26.52,20.22,24.89,
Calc annual,20.81,11.99,22.08,24.41,30.95,23.59,25.46,32.46,26.52,20.22,24.89,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
