"MONKTON, ORANGEFIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5221,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,2.56,3.45,5.13,6.54,1.26,4.23,
February,,,,,,3.72,3.50,1.53,3.14,1.64,0.18,
March,,,,,,2.52,2.56,2.35,1.15,1.01,2.33,
April,,,,,,3.03,1.67,3.12,0.87,1.66,1.99,
May,,,,,,6.08,2.39,1.99,1.17,2.62,1.14,
June,,,,,,0.39,1.32,3.57,2.94,3.06,2.61,
July,,,,,,2.45,3.42,2.69,2.20,5.26,2.51,
August,,,,,,2.61,3.01,3.76,3.26,6.18,5.47,
September,,,,,,3.19,3.15,5.30,3.46,1.50,3.37,
October,,,,,2.86,3.05,4.88,4.48,4.65,5.31,5.83,
November,,,,,2.38,1.12,3.86,3.99,4.80,5.05,4.99,
December,,,,,4.06,3.49,1.46,0.77,2.52,7.44,3.52,
Total,,,,,,34.21,34.67,38.68,36.70,41.99,38.17,
Calc annual,0.00,0.00,0.00,0.00,9.30,34.21,34.67,38.68,36.70,41.99,38.17,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,
