"MANSFIELD (RAINWORTH W.W.)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2623,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.88,2.04,3.77,1.51,1.98,2.16,3.20,1.73,4.39,1.44,4.11,
February,2.42,0.22,3.09,4.56,1.17,2.64,1.43,1.80,1.72,0.80,0.53,
March,2.42,1.03,1.85,1.52,1.21,0.85,0.65,2.49,2.67,0.08,2.44,
April,4.76,0.93,3.40,2.24,2.07,2.33,1.80,1.73,0.79,1.34,3.34,
May,2.24,1.59,1.25,2.89,3.41,3.32,1.78,1.09,1.18,1.17,1.84,
June,2.10,0.83,1.26,0.77,1.55,0.10,2.77,3.72,2.12,1.21,1.48,
July,5.32,0.50,4.21,4.53,2.74,0.96,2.35,1.97,1.02,1.40,5.38,
August,0.95,3.22,6.82,3.11,2.73,2.43,1.96,4.02,2.32,2.25,2.95,
September,1.66,1.02,3.08,2.57,2.42,3.44,1.67,4.55,0.30,0.33,4.78,
October,1.76,3.59,1.01,1.89,4.87,3.32,2.17,2.35,5.50,3.42,2.31,
November,1.17,1.77,1.59,2.55,1.90,2.21,3.83,2.32,3.06,5.62,3.40,
December,3.20,2.32,3.87,3.00,3.10,2.48,1.20,2.95,1.91,4.65,2.37,
Total,30.88,19.06,35.20,31.14,29.15,26.24,24.81,30.72,26.98,23.71,34.93,
Calc annual,30.88,19.06,35.20,31.14,29.15,26.24,24.81,30.72,26.98,23.71,34.93,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
