"MACHEN, MACHEN QUARRY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4003,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,5.51,7.71,5.20,9.51,2.17,9.25,
February,,,,,,6.99,3.72,4.03,4.85,1.58,0.64,
March,,,,,,0.46,0.84,4.37,5.13,0.84,3.37,
April,,,,,,2.58,2.79,1.87,1.70,0.91,3.33,
May,,,,,,5.65,2.85,0.95,0.99,3.66,1.85,
June,,,,,,0.00,2.19,4.84,3.03,3.12,1.45,
July,,,,,,4.36,2.45,6.50,2.69,2.38,4.20,
August,,,,,,5.18,4.30,5.97,4.32,3.83,5.92,
September,,,,,9.14,5.58,1.34,7.67,0.88,0.75,6.13,
October,,,,,6.33,6.17,3.62,4.74,9.62,7.77,5.85,
November,,,,,3.79,1.50,9.40,5.84,7.11,13.79,5.76,
December,,,,,8.68,4.39,0.30,4.08,6.02,11.71,6.22,
Total,,,,,,48.37,41.51,56.06,55.85,52.51,53.97,
Calc annual,0.00,0.00,0.00,0.00,27.94,48.37,41.51,56.06,55.85,52.51,53.97,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,
