"BROMSGROVE, WASHING STOCKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2410,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,4.25,
February,,,,,,,,,,,0.50,
March,,,,,,,,,,,2.46,
April,,,,,,,,,,,3.27,
May,,,,,,,,,,,1.38,
June,,,,,,,,,,,1.78,
July,,,,,,,,,,,4.81,
August,,,,,,,,,,,4.92,
September,,,,,,,,,,,4.42,
October,,,,,,,,,,,2.80,
November,,,,,,,,,,,3.37,
December,,,,,,,,,,,2.87,
Total,,,,,,,,,,,36.83,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.83,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
