"MOORFOOT HILLS (BAURBATE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5112,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.07,8.82,4.70,3.17,3.25,4.15,6.15,4.32,9.18,1.35,5.27,
February,4.28,1.42,3.75,6.58,1.72,5.56,4.58,2.18,4.56,1.98,0.97,
March,4.85,4.75,2.53,2.52,1.20,4.52,4.06,4.12,5.27,0.68,2.74,
April,4.80,1.08,3.20,4.25,2.50,5.40,2.85,3.55,1.68,2.09,2.18,
May,4.82,2.31,2.70,4.35,5.78,6.90,5.48,3.18,2.12,2.75,1.81,
June,1.60,0.96,2.38,1.75,2.85,0.90,5.93,3.91,5.45,3.25,2.85,
July,5.22,3.26,5.27,5.50,6.40,2.03,4.65,3.67,2.93,5.75,3.31,
August,6.42,8.50,2.98,7.30,5.38,4.56,4.03,7.20,5.80,5.92,7.98,
September,2.52,2.18,3.56,4.09,4.92,5.78,4.07,8.76,3.28,0.66,4.58,
October,2.45,6.44,4.07,4.82,4.20,3.02,6.85,5.60,6.09,4.98,5.57,
November,3.25,2.20,2.18,6.35,2.90,2.05,6.25,4.96,4.38,5.06,6.18,
December,4.50,6.95,4.55,5.48,4.80,5.08,2.61,3.90,3.98,8.75,3.18,
Total,49.78,48.87,41.87,56.16,45.90,49.95,57.51,55.35,54.72,43.22,46.62,
Calc annual,49.78,48.87,41.87,56.16,45.90,49.95,57.51,55.35,54.72,43.22,46.62,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
