"ST IVES (BUSSON MOOR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1874,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.04,5.62,6.55,2.75,7.08,5.58,8.32,8.40,10.43,4.69,8.26,
February,1.50,1.40,3.69,9.95,2.61,6.26,3.59,3.73,4.53,3.91,3.47,
March,4.47,4.19,4.08,3.01,2.71,0.64,0.83,4.15,8.52,0.68,4.02,
April,4.61,0.99,5.29,4.36,3.71,3.19,1.86,4.07,2.86,1.24,2.69,
May,2.22,3.19,1.27,2.37,2.77,4.85,2.29,1.75,1.38,5.96,1.73,
June,2.10,0.18,0.89,0.45,2.03,0.03,3.32,3.62,2.91,3.16,1.30,
July,7.29,2.38,3.63,1.91,6.46,3.93,0.94,3.83,1.69,2.69,3.04,
August,2.12,4.80,4.74,3.76,2.53,5.20,2.71,3.90,2.91,4.11,6.14,
September,4.41,1.25,3.66,3.43,4.60,2.96,1.09,5.69,1.67,1.12,6.76,
October,8.54,1.66,2.16,5.88,10.28,5.25,3.50,4.43,9.08,7.48,5.91,
November,2.39,5.68,3.26,3.94,4.02,5.60,8.46,3.84,5.94,16.72,7.16,
December,6.81,3.97,7.33,5.82,9.21,5.28,1.46,4.32,7.10,12.52,4.18,
Total,54.50,35.31,46.55,47.63,58.01,48.77,38.37,51.13,59.02,64.28,54.66,
Calc annual,54.50,35.31,46.55,47.63,58.01,48.77,38.37,51.73,59.02,64.28,54.66,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.60,0.00,0.00,-0.00,
