"BRIDGEWATER (BLAKE GARDENS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2081,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.36,2.88,3.97,1.60,3.73,2.54,3.75,3.54,4.10,0.96,4.45,
February,0.73,0.29,2.74,6.56,0.36,3.41,1.87,2.74,2.47,1.20,0.68,
March,2.48,1.35,2.55,1.35,1.03,0.39,0.82,2.94,2.93,0.17,2.48,
April,4.24,0.83,2.76,2.35,2.81,2.38,2.21,1.24,1.37,1.16,3.14,
May,1.51,1.89,0.60,1.25,3.85,3.44,1.16,1.42,0.54,2.14,1.45,
June,2.10,0.79,0.87,0.43,3.29,0.08,3.00,2.23,2.39,1.87,0.82,
July,4.35,0.30,2.80,1.31,3.69,2.33,2.69,5.44,2.19,1.03,2.35,
August,1.28,1.51,3.85,2.12,5.75,3.12,1.26,2.92,2.08,2.89,2.66,
September,1.32,1.22,1.77,2.96,4.87,3.06,2.09,6.88,1.35,0.55,3.65,
October,2.29,0.88,1.18,4.73,5.25,2.70,4.70,2.43,4.62,4.52,3.86,
November,1.15,1.62,1.50,2.05,2.79,2.58,6.45,2.90,2.97,8.30,4.54,
December,2.61,1.91,4.59,2.69,4.12,3.66,0.33,2.71,2.87,7.40,4.20,
Total,27.42,15.47,29.18,29.40,41.54,29.69,30.33,37.39,29.88,32.19,34.28,
Calc annual,27.42,15.47,29.18,29.40,41.54,29.69,30.33,37.39,29.88,32.19,34.28,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
