"ASHWATER RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1665,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.68,5.13,4.98,3.97,5.29,4.17,6.64,8.12,7.22,2.21,6.52,
February,1.13,0.24,4.57,9.72,1.79,7.42,3.53,3.70,4.25,1.57,1.45,
March,4.83,3.43,4.38,1.89,2.79,1.64,0.77,5.96,4.78,0.46,2.98,
April,5.24,1.00,4.90,3.41,4.13,4.00,2.32,2.94,2.21,1.26,2.60,
May,2.22,2.30,2.06,2.90,3.59,4.23,1.78,1.24,1.10,4.12,1.98,
June,2.65,0.04,1.52,0.75,2.40,0.00,2.76,3.08,1.97,2.44,1.25,
July,5.46,1.24,3.87,2.44,5.10,5.90,2.33,4.58,3.31,2.67,2.82,
August,1.73,3.12,3.30,2.83,6.42,3.38,3.16,4.18,4.28,5.06,4.13,
September,2.36,1.86,3.25,4.44,4.75,5.00,1.69,9.72,2.09,0.94,4.59,
October,5.84,1.80,1.74,8.23,6.31,5.18,3.59,2.56,6.80,8.64,7.28,
November,2.96,3.69,3.46,4.41,3.44,4.69,9.13,4.71,5.66,11.55,5.65,
December,4.23,4.29,7.56,6.14,5.43,5.80,1.44,4.25,5.37,10.08,5.62,
Total,46.33,28.14,45.59,51.13,51.44,51.41,39.14,55.04,49.04,51.00,46.87,
Calc annual,46.33,28.14,45.59,51.13,51.44,51.41,39.14,55.04,49.04,51.00,46.87,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
