"ASHBOURNE MAYFIELD HOUSE 2ND GAUGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2367,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.20,4.08,4.89,2.85,2.70,2.85,4.00,2.82,7.78,2.06,4.27,
February,2.96,0.29,3.19,5.71,1.11,4.79,3.22,1.92,4.33,0.65,0.69,
March,2.01,2.05,2.39,2.50,1.37,0.96,1.53,3.58,2.75,0.37,2.94,
April,4.98,1.58,2.52,2.81,2.73,2.58,1.54,2.97,1.30,0.98,3.04,
May,3.62,1.74,0.97,3.24,5.17,5.29,3.11,1.52,0.56,2.02,2.39,
June,4.35,0.30,1.15,0.77,3.07,0.06,2.55,6.36,3.73,1.37,2.62,
July,5.34,0.94,4.95,4.56,4.50,1.79,2.31,2.52,1.47,2.48,6.24,
August,1.34,4.96,5.37,3.72,4.14,4.47,2.69,3.99,3.50,3.91,3.15,
September,2.00,1.19,2.91,3.44,2.81,4.30,1.53,4.61,0.56,0.92,4.00,
October,2.09,2.95,0.53,2.73,4.78,4.37,3.29,2.68,4.78,4.14,4.95,
November,1.15,1.85,1.68,3.07,1.89,2.01,4.86,3.87,6.46,7.79,3.94,
December,3.22,2.83,4.71,4.46,2.88,2.50,1.27,2.06,2.89,5.99,3.47,
Total,37.26,24.76,35.26,39.86,37.15,35.97,31.90,38.90,40.11,32.68,41.70,
Calc annual,37.26,24.76,35.26,39.86,37.15,35.97,31.90,38.90,40.11,32.68,41.70,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
