"ALTRINCHAM BARRINGTON HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2739,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.70,4.26,3.65,2.60,2.86,2.18,3.20,3.45,7.15,1.78,4.50,
February,3.05,0.44,3.55,4.60,0.75,4.82,2.87,1.32,3.35,1.02,0.23,
March,3.16,2.52,1.87,1.51,1.15,1.21,1.45,2.57,1.81,0.82,2.73,
April,5.04,1.30,2.38,2.70,2.06,1.71,1.07,1.95,1.35,0.80,1.86,
May,4.66,1.90,1.65,3.12,5.13,4.06,3.07,1.62,1.26,2.19,1.32,
June,2.54,0.32,2.14,0.80,2.24,0.15,1.84,4.34,5.65,1.30,1.24,
July,6.38,1.02,4.12,4.10,3.83,2.13,3.52,1.60,1.84,2.98,6.07,
August,2.08,4.88,4.68,4.47,6.22,4.42,3.42,4.47,4.51,4.71,4.90,
September,2.84,1.06,2.84,4.28,3.41,4.75,3.48,6.54,0.95,2.02,3.33,
October,1.86,2.12,0.22,4.20,3.90,4.48,4.17,2.41,4.02,5.05,4.35,
November,0.99,2.15,2.13,4.08,1.35,2.05,5.19,2.91,5.45,6.84,4.04,
December,2.57,4.42,4.46,4.23,3.83,2.33,1.16,1.33,1.99,6.00,3.30,
Total,38.87,26.39,33.69,40.69,36.73,34.29,34.44,34.51,39.33,35.51,37.87,
Calc annual,38.87,26.39,33.69,40.69,36.73,34.29,34.44,34.51,39.33,35.51,37.87,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
