"URMSTON SEWAGE WORKS DAVYHULME",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2830,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.66,4.92,3.27,2.15,2.70,2.12,3.30,3.74,7.87,1.92,4.25,
February,3.34,0.39,2.91,3.99,1.11,5.23,2.67,1.52,3.96,0.34,0.29,
March,3.69,2.32,2.17,0.90,1.13,1.45,1.42,3.70,2.09,1.07,2.72,
April,4.04,1.21,2.37,3.42,1.70,2.03,1.52,2.02,0.99,0.87,1.47,
May,4.83,2.04,1.55,2.73,5.77,4.59,3.50,1.62,1.73,2.78,1.52,
June,2.45,0.31,2.13,0.70,1.97,0.12,1.56,4.99,6.19,1.31,1.75,
July,6.28,2.04,3.84,3.76,3.99,2.71,3.11,1.84,2.28,2.94,6.32,
August,1.81,4.34,4.44,3.78,5.09,4.07,4.04,5.30,4.33,4.40,5.46,
September,2.26,0.69,3.46,4.36,2.97,4.17,3.12,6.17,0.92,1.88,2.79,
October,2.00,2.44,0.24,4.33,3.86,4.46,3.53,2.23,4.73,5.52,4.86,
November,1.06,2.50,2.45,5.25,1.63,2.65,5.36,3.80,4.73,6.62,4.87,
December,2.41,4.12,4.44,4.71,4.15,2.39,1.72,1.20,2.27,6.50,2.61,
Total,37.83,27.32,33.27,40.08,36.07,35.99,34.85,38.13,42.09,36.15,38.91,
Calc annual,37.83,27.32,33.27,40.08,36.07,35.99,34.85,38.13,42.09,36.15,38.91,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
