"PRESTWICH SEWAGE WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2838,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.66,4.71,3.86,3.44,3.18,2.72,4.67,4.67,8.75,1.96,4.52,
February,3.50,0.61,3.19,5.34,1.11,6.62,4.05,1.62,5.55,1.31,0.33,
March,3.15,1.89,2.45,2.28,1.47,1.73,1.97,4.52,2.66,1.25,2.70,
April,4.34,0.97,2.62,2.77,2.14,2.81,1.67,2.57,0.93,1.20,2.03,
May,6.43,2.11,1.71,3.70,5.81,5.88,4.28,1.78,1.55,2.88,2.30,
June,2.43,0.15,2.45,0.82,2.49,0.25,2.21,4.55,6.03,1.10,1.64,
July,6.76,1.07,5.08,4.56,3.95,2.58,2.70,4.73,1.83,3.20,5.90,
August,2.77,4.28,4.58,4.57,6.58,4.24,4.74,7.32,5.15,4.80,5.62,
September,2.79,0.58,3.46,3.97,3.53,4.61,3.39,6.23,0.72,1.93,3.11,
October,1.36,1.40,0.47,5.28,4.91,6.62,3.65,3.37,4.74,5.47,4.89,
November,1.50,1.61,3.10,5.45,2.00,3.06,5.59,3.91,5.26,6.85,4.92,
December,3.13,5.34,4.37,4.44,4.23,2.90,1.88,1.18,2.60,6.57,3.52,
Total,42.82,24.72,37.34,46.62,41.40,44.02,40.80,46.45,45.77,38.52,41.48,
Calc annual,42.82,24.72,37.34,46.62,41.40,44.02,40.80,46.45,45.77,38.52,41.48,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,
