"PORTADOWN MOYALLON HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6209,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.32,4.60,3.33,2.40,4.72,2.66,4.98,2.91,4.46,1.41,3.73,
February,2.02,0.94,2.71,5.99,1.37,3.89,2.21,1.54,3.42,2.31,1.33,
March,3.10,1.95,1.61,1.73,1.17,1.33,1.20,2.46,3.37,0.32,1.95,
April,2.84,0.95,3.73,3.61,3.10,3.30,1.68,1.17,1.14,1.07,1.35,
May,2.81,2.24,1.40,1.68,4.57,5.64,1.76,1.13,1.00,2.33,1.87,
June,2.47,0.23,2.16,1.50,3.09,0.73,2.00,3.54,3.23,2.17,1.54,
July,3.54,5.67,2.77,2.82,5.20,5.81,2.70,3.48,1.38,2.58,2.91,
August,1.81,4.03,4.34,5.76,5.62,1.72,3.66,4.08,4.78,4.83,6.57,
September,2.59,1.13,2.43,3.90,5.79,3.29,1.53,4.99,2.43,0.96,3.27,
October,5.81,2.69,1.17,3.53,2.92,2.83,2.23,2.74,4.48,3.33,4.11,
November,2.75,3.08,1.13,3.57,2.89,1.70,3.75,2.75,4.18,2.79,2.86,
December,3.64,2.83,3.37,3.22,3.78,2.70,0.90,1.99,2.76,5.58,3.16,
Total,36.70,30.34,30.15,39.71,44.22,35.60,28.60,32.78,36.63,29.68,34.65,
Calc annual,36.70,30.34,30.15,39.71,44.22,35.60,28.60,32.78,36.63,29.68,34.65,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
