"BOSLEY MINNS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.92,2.13,2.24,,,,,,,,,
February,2.92,0.28,1.49,,,,,,,,,
March,1.80,0.80,1.75,,,,,,,,,
April,3.70,1.08,2.00,,,,,,,,,
May,4.03,1.29,0.97,,,,,,,,,
June,3.07,0.68,1.36,,,,,,,,,
July,3.63,0.81,3.49,,,,,,,,,
August,1.41,4.69,4.87,,,,,,,,,
September,2.32,0.82,4.32,,,,,,,,,
October,1.48,2.31,0.61,,,,,,,,,
November,0.68,1.66,1.88,,,,,,,,,
December,2.01,2.20,5.51,,,,,,,,,
Total,28.97,18.75,30.49,,,,,,,,,
Calc annual,28.97,18.75,30.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
