"MASHAM MOOR BREARY BANK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3414,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.17,6.55,5.17,2.57,3.52,5.11,5.64,4.19,7.99,1.84,7.00,
February,2.63,0.15,3.84,7.56,0.82,5.65,2.96,2.14,4.14,1.31,1.79,
March,4.22,2.45,2.99,1.70,1.73,1.16,1.30,2.86,3.69,0.23,3.30,
April,6.08,1.55,3.59,3.16,1.93,4.39,1.57,2.89,0.83,1.34,4.08,
May,3.89,1.80,1.09,3.01,6.17,4.94,2.56,1.92,2.91,2.29,1.25,
June,1.09,0.53,1.75,0.89,1.62,0.15,4.24,3.51,5.01,1.44,2.21,
July,6.16,3.03,6.30,3.17,6.21,1.69,3.06,5.90,0.93,2.94,6.32,
August,1.46,4.86,4.05,4.67,3.09,2.85,3.57,8.56,5.39,3.18,4.27,
September,1.04,1.71,4.72,3.51,4.33,2.53,2.85,4.74,0.56,1.13,6.00,
October,4.77,1.62,1.49,3.74,4.25,4.00,3.67,4.99,6.21,4.13,4.07,
November,2.59,2.57,1.30,6.16,2.76,1.95,8.73,3.97,5.35,5.57,5.45,
December,4.27,5.51,5.45,3.44,5.64,5.62,1.28,3.47,2.46,9.58,4.41,
Total,43.37,32.33,41.74,43.58,42.07,40.04,41.43,49.14,45.47,34.98,50.15,
Calc annual,43.37,32.33,41.74,43.58,42.07,40.04,41.43,49.14,45.47,34.98,50.15,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,
