"RAINOW, MARSH HOUSE, NR MACCLESFIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,2.90,3.61,4.24,7.60,,,
February,,,,,,6.07,3.40,2.27,4.27,,,
March,,,,,,1.62,2.21,5.07,2.64,,,
April,,,,,,2.23,1.55,3.60,1.44,,,
May,,,,,,4.86,4.42,1.59,1.15,,,
June,,,,,3.39,0.24,2.92,6.16,5.30,,,
July,,,,,3.60,2.34,3.53,3.45,1.94,,,
August,,,,,6.70,3.97,4.27,4.90,5.55,,,
September,,,,,3.84,5.12,3.98,5.95,1.06,,,
October,,,,,5.23,4.49,3.34,2.91,4.31,,,
November,,,,,1.78,3.23,4.72,3.50,5.43,,,
December,,,,,3.35,3.01,1.80,1.30,2.70,,,
Total,,,,,,40.08,39.75,44.94,43.39,,,
Calc annual,0.00,0.00,0.00,0.00,27.89,40.08,39.75,44.94,43.39,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,
