"GRANCHESTER THE MILLS,",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1196,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.69,1.84,1.77,1.07,2.52,1.09,1.75,1.55,2.81,1.26,1.75,
February,0.28,0.29,1.32,2.04,0.56,2.16,2.19,2.77,0.80,0.44,0.46,
March,1.21,0.64,1.22,1.61,0.61,0.88,0.17,1.57,1.08,0.06,1.80,
April,3.46,1.19,2.35,1.21,2.46,1.65,3.14,1.69,0.62,1.43,2.08,
May,1.04,0.62,1.32,1.13,3.58,1.58,2.23,0.47,2.29,2.66,3.35,
June,1.28,0.53,1.07,0.66,1.65,0.42,2.13,2.51,2.12,1.10,1.03,
July,2.83,0.31,4.44,2.65,2.87,2.14,2.24,2.44,2.46,2.55,3.79,
August,0.79,1.17,2.23,3.09,2.26,2.02,1.18,2.11,2.20,0.50,2.20,
September,2.32,1.30,1.98,2.00,2.16,2.45,2.24,3.57,0.57,0.15,3.17,
October,0.72,1.12,0.42,3.65,3.48,2.58,2.34,1.49,2.70,2.96,1.09,
November,0.65,1.74,0.87,0.96,2.06,1.19,2.85,2.21,1.40,4.28,3.77,
December,1.82,1.09,1.38,1.82,2.05,1.57,0.24,2.09,2.12,3.07,1.96,
Total,18.09,11.84,20.37,21.89,26.26,19.73,22.70,24.47,21.17,20.46,26.45,
Calc annual,18.09,11.84,20.37,21.89,26.26,19.73,22.70,24.47,21.17,20.46,26.45,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
