"SHEDDIN BURNLEY W.W.",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2958,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.88,7.71,4.48,4.47,3.57,3.99,5.29,5.12,11.16,2.06,7.24,
February,3.85,0.59,4.77,6.77,1.17,6.91,4.12,2.49,5.73,0.92,0.83,
March,4.45,3.61,3.39,2.38,1.56,1.76,1.91,4.31,3.98,1.05,2.67,
April,6.12,1.73,4.27,3.93,2.29,3.04,2.05,3.20,1.28,1.44,3.64,
May,5.56,2.52,1.86,4.66,5.20,4.46,4.09,1.32,1.89,3.21,2.18,
June,2.00,0.20,2.69,1.46,2.34,0.05,4.01,3.98,6.79,1.62,2.09,
July,7.12,2.30,5.61,5.47,4.06,1.60,2.40,3.69,1.75,2.93,5.87,
August,2.06,4.78,5.92,6.22,6.90,4.46,4.45,7.74,6.75,4.52,8.18,
September,2.66,1.99,4.48,5.62,5.90,4.03,3.25,6.18,0.75,1.53,4.51,
October,1.92,2.73,1.17,6.69,5.21,5.80,3.98,4.93,6.35,6.30,6.38,
November,2.59,2.21,3.54,6.26,2.93,3.13,7.99,3.57,7.34,9.35,6.23,
December,4.14,6.38,5.58,4.84,6.42,3.85,1.94,1.07,3.03,10.90,4.76,
Total,47.35,36.75,47.76,58.77,47.55,43.08,45.48,47.60,56.80,45.83,54.58,
Calc annual,47.35,36.75,47.76,58.77,47.55,43.08,45.48,47.60,56.80,45.83,54.58,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
