"SANDOWN, SANDHAM GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,598,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,2.70,5.39,1.22,5.03,
February,,,,,,,,4.28,2.18,1.26,1.19,
March,,,,,,,,3.08,2.73,0.16,1.43,
April,,,,,,,,1.85,1.86,0.99,2.27,
May,,,,,,,,0.62,1.37,2.04,2.16,
June,,,,,,,3.77,2.85,2.55,1.47,0.75,
July,,,,,,,2.25,3.35,2.52,1.54,2.21,
August,,,,,,,1.55,2.73,2.81,2.09,3.17,
September,,,,,,,0.66,6.88,0.97,0.54,3.72,
October,,,,,,,3.21,2.10,8.42,4.65,3.78,
November,,,,,,,6.71,3.23,4.36,7.07,5.86,
December,,,,,,,0.48,3.54,3.62,6.39,3.39,
Total,,,,,,,,37.21,38.78,29.42,34.96,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.63,37.21,38.78,29.42,34.96,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,
