"EAST BARNET (SEWAGE DISPOSAL WORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,902/7,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.26,2.70,
February,,,,,,,,,,0.62,1.20,
March,,,,,,,,,,0.03,1.85,
April,,,,,,,,,,1.32,1.98,
May,,,,,,,,,,2.00,2.86,
June,,,,,,,,,,1.20,0.97,
July,,,,,,,,,,2.76,2.07,
August,,,,,,,,,,1.53,3.37,
September,,,,,,,,,,0.32,3.19,
October,,,,,,,,,,3.44,1.38,
November,,,,,,,,,,5.92,4.12,
December,,,,,,,,,,5.41,2.41,
Total,,,,,,,,,,25.81,28.10,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.81,28.10,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
