"BALLINASLOE BNS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6156,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,7.53,2.02,3.79,
February,,,,,,,,,3.47,2.96,0.37,
March,,,,,,,,,3.57,0.49,3.74,
April,,,,,,,,,2.05,0.84,1.73,
May,,,,,,,,,1.30,2.12,2.61,
June,,,,,,,,,4.92,1.72,1.22,
July,,,,,,,,,2.01,4.03,3.45,
August,,,,,,,,,5.81,4.66,5.74,
September,,,,,,,,,2.01,1.31,3.28,
October,,,,,,,,,5.03,4.21,4.83,
November,,,,,,,,,4.49,4.46,3.98,
December,,,,,,,,,2.73,7.01,3.72,
Total,,,,,,,,,44.92,35.83,38.46,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.92,35.83,38.46,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,
