"MUNDESLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,1.50,,,,,,,,
February,,,,2.03,,,,,,,,
March,,,,1.53,,,,,,,,
April,,2.14,2.14,1.14,,,,,,,,
May,0.94,1.76,0.76,1.28,,,,,,,,
June,1.34,0.34,1.86,0.87,,,,,,,,
July,3.27,0.52,6.20,2.85,,,,,,,,
August,2.38,1.67,1.40,2.16,,,,,,,,
September,2.01,0.75,2.49,1.47,,,,,,,,
October,0.88,2.17,1.70,3.76,,,,,,,,
November,,,1.39,4.38,,,,,,,,
December,,,2.93,4.23,,,,,,,,
Total,,,,27.20,,,,,,,,
Calc annual,10.82,9.35,20.87,27.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
