"CANN, SPRING COTTAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,3.52,4.80,2.78,,,,
February,,,,,,4.60,2.20,3.70,,,,
March,,,,,,0.91,0.80,4.13,,,,
April,,,,,,3.11,3.72,1.71,,,,
May,,,,,,3.79,2.38,1.35,,,,
June,,,,,,0.00,2.71,,,,,
July,,,,,,2.45,1.91,,,,,
August,,,,,,2.96,1.03,,,,,
September,,,,,,3.14,0.65,,,,,
October,,,,,,3.58,2.69,,,,,
November,,,,,,2.60,9.35,,,,,
December,,,,,,3.54,0.45,,,,,
Total,,,,,,34.20,32.69,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,34.20,32.69,13.67,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,
