"FELSTEAD (SUGAR FACTORY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1303/1,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,2.20,1.61,3.26,1.24,1.82,
February,,,,,,,2.60,3.42,1.25,0.57,0.56,
March,,,,,,,0.20,1.97,2.14,0.03,1.19,
April,,,,,,,4.50,1.47,0.81,1.77,2.16,
May,,,,,,,1.00,0.95,1.85,1.50,2.05,
June,,,,,,,2.80,3.04,2.33,0.50,0.92,
July,,,,,,,2.10,2.18,1.48,1.71,2.39,
August,,,,,,,0.80,3.95,2.04,1.64,2.55,
September,,,,,,,0.90,4.17,0.79,0.73,3.13,
October,,,,,,,2.60,1.94,2.80,2.91,0.92,
November,,,,,,,4.30,2.32,1.97,4.19,3.69,
December,,,,,,,0.40,2.53,2.87,3.86,2.07,
Total,,,,,,,24.40,29.55,23.59,20.65,23.25,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.40,29.55,23.59,20.65,23.45,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.20,
