"ALMONDSBURY (OVER COURT GARDEN)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.33,,,,,,,,,,,
February,1.43,,,,,,,,,,,
March,2.59,,,,,,,,,,,
April,4.13,,,,,,,,,,,
May,2.54,,,,,,,,,,,
June,3.86,,,,,,,,,,,
July,4.81,,,,,,,,,,,
August,1.40,,,,,,,,,,,
September,2.15,,,,,,,,,,,
October,2.86,,,,,,,,,,,
November,1.99,,,,,,,,,,,
December,3.22,,,,,,,,,,,
Total,35.31,,,,,,,,,,,
Calc annual,35.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
