"MAIDEN BRADLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1517,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,7.02,2.25,5.77,
February,,,,,,,,,2.22,1.10,0.85,
March,,,,,,,,,3.45,0.68,2.11,
April,,,,,,,,,1.79,1.18,2.19,
May,,,,,,,,,1.72,2.47,2.16,
June,,,,,,,,,3.07,1.61,0.67,
July,,,,,,,,,2.51,1.81,2.97,
August,,,,,,,,,2.37,2.50,4.26,
September,,,,,,,,,1.98,0.70,4.68,
October,,,,,,,,,6.33,6.08,3.19,
November,,,,,,,,,4.75,8.50,5.87,
December,,,,,,,,,3.91,8.43,3.88,
Total,,,,,,,,,41.12,37.31,38.60,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.12,37.31,38.60,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,
