"ULDALE CHAPEL HOUSE RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3608,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.20,7.81,4.41,3.76,3.93,4.09,5.99,4.96,7.40,1.18,7.38,
February,4.79,0.34,3.63,6.85,1.01,6.15,5.45,1.84,4.96,1.03,0.69,
March,7.46,7.01,1.84,1.14,0.95,2.45,1.94,3.66,3.89,0.53,2.60,
April,3.49,1.22,3.12,4.07,1.82,5.47,2.69,3.29,1.20,1.45,1.98,
May,5.22,2.22,2.20,4.35,4.13,4.16,3.03,2.27,1.65,2.09,1.79,
June,1.84,0.69,3.68,1.73,3.01,0.52,4.80,3.77,4.60,1.76,2.67,
July,6.33,2.79,5.68,2.94,4.65,2.13,3.61,5.61,5.93,5.01,4.93,
August,3.00,6.30,3.83,8.17,4.47,4.00,4.07,7.13,5.41,6.99,8.75,
September,2.37,2.05,4.20,5.88,5.69,4.80,4.89,8.07,3.47,1.75,2.65,
October,1.62,4.95,1.73,8.23,4.34,5.04,3.84,4.67,8.03,6.52,7.05,
November,3.21,2.08,1.76,6.77,4.48,1.89,6.46,6.01,7.47,8.43,4.65,
December,3.40,7.44,5.55,4.30,6.89,4.67,1.52,2.09,3.65,9.36,4.37,
Total,47.93,44.90,41.63,58.19,45.37,45.37,48.29,53.37,57.66,46.10,49.51,
Calc annual,47.93,44.90,41.63,58.19,45.37,45.37,48.29,53.37,57.66,46.10,49.51,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,
