"GALSTON HIGHER GRADE SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,3.81,4.34,8.08,1.32,4.39,
February,,,,,,,4.13,2.59,3.37,1.76,0.14,
March,,,,,,,2.50,2.36,1.54,1.01,2.03,
April,,,,,,,2.02,2.81,1.01,1.66,1.10,
May,,,,,,,2.44,1.97,1.45,2.27,1.25,
June,,,,,,,2.36,4.28,3.75,2.35,2.93,
July,,,,,,,4.04,4.97,2.97,3.76,2.22,
August,,,,,,,3.29,3.71,3.69,6.31,,
September,,,,,,,3.86,7.29,3.82,1.43,2.21,
October,,,,,,,4.51,4.05,5.57,5.27,5.70,
November,,,,,,,4.43,4.70,4.56,5.29,4.90,
December,,,,,,,1.82,0.83,2.74,7.31,,
Total,,,,,,,39.21,43.90,42.55,39.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,39.21,43.90,42.55,39.74,26.87,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,
