"WHITMORE PUMPING STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2357,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,2.17,5.24,1.84,4.09,
February,,,,,,,,1.49,2.47,0.50,0.33,
March,,,,,,,,2.90,1.41,0.49,3.23,
April,,,,,,,,1.82,1.40,0.55,2.45,
May,,,,,,,,1.40,0.77,2.01,2.35,
June,,,,,,,,4.86,3.80,1.38,1.25,
July,,,,,,,3.25,2.47,1.67,2.39,6.81,
August,,,,,,,3.33,3.90,3.54,3.39,3.40,
September,,,,,,,1.42,3.10,0.82,1.30,2.99,
October,,,,,,,2.48,1.92,3.75,3.09,3.61,
November,,,,,,,4.91,2.51,4.42,5.82,3.42,
December,,,,,,,0.55,1.48,3.07,5.13,3.31,
Total,,,,,,,,30.02,32.36,27.89,37.24,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,15.94,30.02,32.36,27.89,37.24,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,
