"CLOVELLY COURT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1869,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.16,6.01,4.70,4.13,5.09,4.65,8.32,8.44,9.49,1.14,7.96,
February,2.55,0.65,5.29,9.39,0.97,8.08,2.85,4.00,6.46,1.34,2.62,
March,6.37,5.22,2.71,1.41,2.49,0.87,0.91,5.32,4.34,0.65,3.11,
April,6.20,0.97,2.67,3.05,3.62,3.24,1.99,2.78,2.18,1.05,2.38,
May,2.13,1.96,1.92,1.97,3.42,5.85,1.91,1.46,1.33,3.35,2.16,
June,4.32,0.10,2.12,1.39,1.71,0.00,1.79,4.37,3.11,2.47,0.97,
July,5.37,0.92,4.41,4.07,6.50,3.60,2.44,4.30,2.36,4.35,1.98,
August,1.69,2.88,4.18,4.24,6.43,6.17,4.08,5.54,4.09,3.78,3.00,
September,3.87,2.56,3.33,4.80,6.08,4.84,2.61,9.38,2.08,0.92,5.26,
October,4.92,2.23,2.16,8.43,7.21,5.84,3.96,3.22,8.97,9.02,6.68,
November,3.33,3.22,2.39,5.31,3.41,4.45,9.66,3.73,6.14,13.10,5.44,
December,4.39,4.28,8.65,5.89,7.58,5.14,1.27,2.81,5.93,9.20,6.42,
Total,53.30,31.00,44.53,54.08,54.51,52.73,41.79,55.35,56.48,50.37,47.98,
Calc annual,53.30,31.00,44.53,54.08,54.51,52.73,41.79,55.35,56.48,50.37,47.98,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
