"OUTWOOD THE ORCHARDS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,111,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.39,2.56,3.96,1.69,2.56,2.78,3.28,2.36,4.52,1.42,3.64,
February,0.44,0.30,2.76,4.18,0.92,4.36,2.61,5.18,1.95,0.50,0.85,
March,1.54,1.53,2.17,2.18,1.73,0.74,0.43,3.45,2.37,0.02,1.65,
April,2.72,1.56,3.08,2.81,2.87,2.87,4.05,2.29,1.67,0.86,1.50,
May,0.98,1.53,0.87,2.94,3.23,2.61,1.52,1.10,2.05,2.16,3.04,
June,1.08,0.17,1.41,0.48,2.86,0.14,3.52,3.59,2.71,1.38,0.60,
July,4.86,0.33,3.37,3.31,4.58,4.27,1.76,2.89,1.80,4.44,2.30,
August,1.72,1.46,2.74,2.07,3.30,2.53,2.68,4.77,3.23,2.47,3.94,
September,4.59,0.71,2.32,1.60,3.49,2.28,0.89,5.71,0.73,0.30,3.64,
October,1.36,0.71,0.98,6.64,3.60,3.52,2.65,2.03,6.03,4.57,1.62,
November,1.75,1.95,1.95,2.00,3.12,3.05,6.22,3.82,2.75,7.12,4.98,
December,2.70,1.85,4.20,3.19,4.13,3.35,0.54,4.24,3.73,7.85,2.35,
Total,27.13,14.66,29.81,33.09,36.39,32.50,30.15,41.41,33.54,33.09,30.11,
Calc annual,27.13,14.66,29.81,33.09,36.39,32.50,30.15,41.43,33.54,33.09,30.11,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,-0.00,
