"GREENOCK WW (NEW YETTS DAM)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5313,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.18,12.23,7.15,8.64,7.19,5.68,10.62,7.73,12.60,2.94,9.81,
February,10.06,2.62,7.43,7.36,1.58,5.13,7.32,4.07,5.56,2.83,0.58,
March,6.81,10.61,3.01,3.30,1.64,3.64,6.25,5.47,6.51,1.39,4.54,
April,3.06,2.15,4.56,5.11,3.82,6.63,2.79,4.57,3.38,1.58,2.61,
May,7.44,4.25,5.66,2.86,5.88,8.90,3.57,4.38,2.11,5.30,2.93,
June,2.78,0.92,3.30,1.76,3.49,1.72,4.19,5.19,7.55,3.88,3.90,
July,4.97,5.62,4.11,5.51,4.56,2.03,3.66,5.71,4.84,6.47,4.62,
August,7.17,7.44,3.99,7.45,4.73,4.70,5.74,7.91,5.55,8.66,7.33,
September,4.53,3.89,4.45,11.60,8.13,4.19,5.14,9.53,5.28,2.42,5.06,
October,4.28,6.61,3.64,10.10,4.36,6.37,9.00,8.15,10.89,8.46,10.82,
November,7.23,4.14,4.44,5.86,5.70,1.81,8.36,7.92,9.60,10.73,9.12,
December,6.60,11.55,6.68,6.32,10.08,4.31,4.12,1.96,6.84,15.98,6.39,
Total,73.11,72.03,58.42,75.87,61.16,55.11,70.76,72.59,80.71,70.64,67.71,
Calc annual,73.11,72.03,58.42,75.87,61.16,55.11,70.76,72.59,80.71,70.64,67.71,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
