"NENAGH  TRAVERSTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6041,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.47,5.55,4.22,3.45,5.12,5.18,7.75,5.18,7.71,2.18,9.49,
February,3.71,1.16,5.14,6.21,1.73,5.67,4.18,2.94,5.63,3.52,0.90,
March,3.99,3.20,2.23,3.24,0.85,0.68,2.16,4.36,5.42,0.79,5.68,
April,4.96,1.00,2.30,2.85,3.32,4.60,2.80,1.69,3.75,1.58,3.36,
May,4.52,2.92,2.20,1.56,4.03,5.01,2.35,1.17,1.65,3.29,2.87,
June,3.12,0.55,3.44,1.41,5.30,0.76,3.13,4.22,4.95,1.65,2.55,
July,6.06,4.83,3.48,3.56,3.00,2.88,3.78,3.57,2.04,3.77,4.09,
August,2.36,4.34,2.80,5.75,3.40,3.07,3.94,5.05,5.01,5.04,6.09,
September,2.12,1.41,4.93,4.51,8.32,2.52,1.20,5.10,1.94,0.77,4.11,
October,6.73,2.28,1.38,4.86,4.01,4.73,3.84,3.24,7.25,5.43,6.94,
November,4.96,4.10,1.50,4.69,4.39,2.46,5.25,3.64,6.54,7.29,4.88,
December,4.07,4.07,5.41,3.72,7.03,3.95,0.86,4.64,5.99,10.80,4.89,
Total,53.07,35.41,39.03,45.81,50.50,41.51,41.24,44.80,57.88,46.11,55.85,
Calc annual,53.07,35.41,39.03,45.81,50.50,41.51,41.24,44.80,57.88,46.11,55.85,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
