"BARR MANSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.33,,,,,,,,,,,
February,4.45,,,,,,,,,,,
March,5.54,,,,,,,,,,,
April,3.30,,,,,,,,,,,
May,5.96,,,,,,,,,,,
June,1.96,,,,,,,,,,,
July,3.61,,,,,,,,,,,
August,4.35,,,,,,,,,,,
September,3.42,,,,,,,,,,,
October,3.88,,,,,,,,,,,
November,3.29,,,,,,,,,,,
December,4.49,,,,,,,,,,,
Total,50.58,,,,,,,,,,,
Calc annual,50.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
