"BURNHOPE, LODGE GILL MINE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3536,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,6.80,5.65,8.65,8.10,6.90,13.20,2.00,9.45,
February,,,,9.30,1.90,8.05,6.90,3.05,5.20,1.35,2.10,
March,,,,2.90,1.45,2.45,3.30,5.60,6.60,0.65,3.60,
April,,,,3.40,2.90,6.05,3.30,5.20,1.30,2.05,3.30,
May,,,,3.70,7.70,6.35,3.60,3.00,1.85,1.55,2.45,
June,,,,2.00,2.95,0.35,5.10,5.70,8.90,2.90,2.55,
July,,,,3.75,7.60,2.25,7.85,5.60,3.80,6.10,5.95,
August,,,,10.80,5.55,4.50,5.40,8.95,10.35,6.25,9.20,
September,,,,5.10,9.05,5.40,6.20,9.80,3.10,2.50,5.90,
October,,,,10.50,5.70,8.55,5.05,7.20,8.40,7.75,9.20,
November,,,,7.95,5.80,1.80,9.10,6.80,10.50,11.05,7.75,
December,,,,4.85,10.80,8.25,1.80,3.55,4.25,11.60,5.95,
Total,,,,71.05,67.05,62.65,65.70,71.35,77.45,55.75,67.40,
Calc annual,0.00,0.00,0.00,71.05,67.05,62.65,65.70,71.35,77.45,55.75,67.40,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
