"BARGOED H.E. SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.39,,3.94,12.93,,,,,,,,
February,2.01,,6.08,,,,,,,,,
March,5.84,,7.06,,,,,,,,,
April,8.07,,,,,,,,,,,
May,5.03,,,2.56,,,,,,,,
June,4.20,,,0.99,,,,,,,,
July,7.02,,5.72,,,,,,,,,
August,2.20,,,,,,,,,,,
September,2.59,,,,,,,,,,,
October,4.60,,,,6.44,,,,,,,
November,4.11,,,3.21,3.72,,,,,,,
December,8.40,,,,,,,,,,,
Total,61.46,,,,,,,,,,,
Calc annual,61.46,0.00,22.80,19.69,10.16,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
