"BRINDLE WHITEHOLME",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2947,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.55,6.69,2.46,3.22,3.19,2.32,4.04,4.00,9.61,2.06,6.00,
February,3.23,0.27,3.91,5.28,0.70,5.53,4.05,2.00,4.40,0.86,0.31,
March,3.73,3.02,1.43,0.97,1.59,1.75,1.34,3.45,2.62,1.45,2.86,
April,4.14,1.86,2.11,2.81,1.62,2.16,1.77,2.23,1.07,1.21,2.15,
May,7.17,2.33,2.04,3.30,4.94,4.36,3.08,1.38,1.24,2.82,1.31,
June,2.73,0.77,2.99,0.71,2.80,0.02,1.70,4.69,5.62,1.74,2.59,
July,5.55,2.46,5.74,3.67,4.71,2.47,4.16,4.11,2.80,3.45,6.00,
August,2.01,5.74,4.76,5.49,6.55,3.55,3.85,8.93,6.95,5.78,6.55,
September,2.87,1.61,3.72,3.92,4.46,4.42,5.18,7.61,1.33,2.17,2.48,
October,1.26,3.23,1.02,5.00,4.57,4.69,4.53,3.94,5.07,6.12,6.32,
November,1.68,2.22,2.74,5.06,2.35,3.33,5.18,3.41,5.85,6.45,5.55,
December,2.22,5.50,4.99,3.83,4.32,2.59,1.14,1.65,3.34,7.69,4.18,
Total,40.14,35.70,37.91,43.26,41.80,37.19,40.02,47.40,49.90,41.80,46.30,
Calc annual,40.14,35.70,37.91,43.26,41.80,37.19,40.02,47.40,49.90,41.80,46.30,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
