"WATERPOOL CRAGG HOLES RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2910,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.85,7.67,4.28,3.73,4.14,4.27,6.29,4.60,11.68,3.25,6.31,
February,3.49,0.53,5.73,6.79,1.28,7.98,4.68,2.81,5.04,1.54,0.95,
March,4.36,4.22,4.29,2.63,2.50,1.76,2.55,4.99,5.23,1.49,3.18,
April,6.71,1.64,3.38,5.00,2.96,3.37,1.90,3.31,1.60,1.35,3.91,
May,6.97,4.30,2.79,4.28,7.58,7.21,4.47,2.41,1.73,3.83,1.77,
June,3.16,0.40,2.93,1.23,3.17,0.14,3.17,4.99,8.55,1.77,1.81,
July,9.71,2.25,6.64,4.87,6.17,2.17,3.32,5.80,2.50,3.46,6.25,
August,3.71,8.23,6.84,7.31,10.12,5.55,5.77,9.50,7.16,5.34,8.15,
September,2.88,2.19,5.55,6.17,6.74,4.73,4.60,6.51,0.78,2.05,6.13,
October,2.06,3.95,1.10,7.89,7.19,7.31,5.08,5.49,8.91,7.14,6.40,
November,3.09,3.96,3.69,7.83,3.39,2.84,9.20,5.16,8.11,10.10,7.52,
December,5.08,6.48,5.49,5.29,6.39,3.88,1.53,2.45,3.91,8.08,4.76,
Total,56.07,45.82,52.71,63.02,61.63,51.21,52.56,58.02,65.20,49.40,57.14,
Calc annual,56.07,45.82,52.71,63.02,61.63,51.21,52.56,58.02,65.20,49.40,57.14,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
