"NEW PACKINGTON, LEICESTER ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,2.16,4.80,1.51,3.98,
February,,,,,,,,1.95,2.07,0.44,0.73,
March,,,,,,,,2.10,1.68,0.19,3.01,
April,,,,,,,,1.75,1.52,0.96,2.82,
May,,,,,,,,1.55,0.77,1.84,,
June,,,,,,,3.24,4.16,2.12,1.49,,
July,,,,,,,2.59,2.20,1.42,1.54,,
August,,,,,,,2.13,3.16,3.68,2.71,,
September,,,,,,,0.87,4.62,0.65,0.59,,
October,,,,,,,2.61,2.26,4.24,3.60,,
November,,,,,,,3.69,3.52,3.50,5.42,,
December,,,,,,,0.94,2.46,2.42,4.81,,
Total,,,,,,,,31.89,28.87,25.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,16.07,31.89,28.87,25.10,10.54,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,
