"ARDROSSAN, BUSBIE RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5212,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,2.00,5.95,
February,,,,,,,,,,2.65,0.25,
March,,,,,,,,,,1.40,3.20,
April,,,,,,,,,,1.80,2.60,
May,,,,,,,,,,2.95,1.93,
June,,,,,,,,,,3.50,3.20,
July,,,,,,,,,,4.10,3.50,
August,,,,,,,,,,6.50,6.30,
September,,,,,,,,,,1.95,4.25,
October,,,,,,,,,,5.90,6.80,
November,,,,,,,,,,7.35,5.43,
December,,,,,,,,,,9.45,5.80,
Total,,,,,,,,,,49.55,49.21,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.55,49.21,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
