"BARBON (THE STORES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3727,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.53,9.31,4.34,4.99,4.45,3.45,4.78,5.43,12.10,2.01,7.35,
February,5.12,0.21,4.35,5.13,0.89,5.99,6.73,3.19,6.00,0.81,0.40,
March,4.89,5.86,3.40,1.52,2.17,1.37,2.38,3.95,3.63,1.60,3.22,
April,5.62,1.29,1.94,3.42,2.40,4.04,1.38,3.28,1.78,1.89,2.28,
May,6.81,3.70,3.52,4.09,7.68,4.91,2.96,2.35,0.54,2.46,1.42,
June,2.58,0.43,3.83,1.03,3.70,0.38,3.09,5.12,8.95,2.12,3.44,
July,8.37,1.67,6.17,5.31,5.23,2.63,4.78,5.14,6.95,5.52,5.62,
August,3.72,7.77,5.71,7.26,4.29,5.71,4.26,7.26,9.03,7.44,6.92,
September,3.08,2.81,4.04,6.68,6.17,4.33,5.06,6.75,2.91,2.28,2.15,
October,0.94,3.31,1.18,8.11,5.25,5.10,4.17,5.21,5.42,7.20,8.29,
November,3.16,2.83,3.13,8.09,4.61,2.50,6.43,6.61,7.28,7.75,5.99,
December,4.47,8.61,6.62,5.08,7.65,4.19,1.45,1.03,4.64,8.21,4.45,
Total,55.29,47.80,48.23,60.71,54.49,44.60,47.47,55.32,69.23,49.29,51.53,
Calc annual,55.29,47.80,48.23,60.71,54.49,44.60,47.47,55.32,69.23,49.29,51.53,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
