"NELSON (LOMESHAYE ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,10.34,1.89,,
February,,,,,,,,,6.27,0.90,,
March,,,,,,,,,1.52,1.45,,
April,,,,,,,,3.20,1.97,0.72,,
May,,,,,,,,2.26,1.29,2.74,,
June,,,,,,,,4.07,5.33,1.71,,
July,,,,,,,,5.18,2.05,3.26,,
August,,,,,,,,6.80,7.10,4.90,,
September,,,,,,,,6.39,0.75,1.83,,
October,,,,,,,,4.77,5.42,5.91,,
November,,,,,,,,5.83,7.17,7.43,,
December,,,,,,,,1.41,2.99,9.71,,
Total,,,,,,,,,52.20,42.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.91,52.20,42.45,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,
