"SWINTON, VICTORIA PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2836,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,2.12,3.80,4.50,8.29,1.87,3.90,
February,,,,,,5.67,3.51,1.40,4.47,1.25,0.28,
March,,,,,,1.31,1.72,3.98,2.37,1.08,2.51,
April,,,,,,2.13,1.19,2.42,0.78,1.15,1.44,
May,,,,,,5.88,3.40,1.57,1.19,2.81,1.79,
June,,,,,,0.01,2.08,4.35,5.67,1.22,1.43,
July,,,,,,2.33,2.66,2.98,1.79,2.67,6.04,
August,,,,,,3.81,4.54,6.11,4.39,4.13,6.23,
September,,,,,,4.16,3.75,6.58,0.76,1.89,2.87,
October,,,,,,4.48,2.92,3.18,4.49,5.21,4.62,
November,,,,,,3.07,5.36,3.78,4.90,6.68,4.66,
December,,,,,,2.41,1.76,1.05,2.24,6.02,3.15,
Total,,,,,,37.38,36.69,41.90,41.34,35.98,38.92,
Calc annual,0.00,0.00,0.00,0.00,0.00,37.38,36.69,41.90,41.34,35.98,38.92,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,
