"WEST STOKE RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,435,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.10,3.99,4.68,1.70,3.23,4.16,5.12,2.57,5.83,1.47,4.56,
February,0.46,0.54,3.47,5.27,0.44,4.64,2.08,4.77,2.04,1.59,1.54,
March,2.21,1.33,1.84,2.34,1.59,0.52,0.57,3.25,2.15,0.13,1.51,
April,2.79,1.05,3.53,3.68,2.72,3.33,3.52,2.14,2.10,0.94,2.49,
May,1.24,1.34,0.71,3.29,4.03,4.89,2.40,1.05,1.68,2.35,2.21,
June,1.97,0.02,1.22,0.57,3.29,0.00,2.82,3.48,2.34,1.94,0.66,
July,5.77,0.39,4.12,1.25,3.40,3.51,1.80,3.48,1.52,2.63,2.44,
August,1.19,2.22,3.15,2.55,3.24,4.41,1.63,3.68,2.50,2.42,3.53,
September,2.49,0.83,1.73,2.37,5.31,2.60,0.48,6.35,1.19,1.85,3.01,
October,3.08,1.34,0.93,6.84,5.30,4.49,2.17,2.77,7.93,4.26,2.41,
November,1.13,2.54,2.01,1.50,2.51,3.86,7.20,3.56,3.42,7.52,5.78,
December,3.31,1.97,3.87,3.24,4.49,3.32,0.39,4.43,3.62,6.06,3.70,
Total,28.74,17.56,31.26,34.60,39.55,39.73,30.18,41.53,36.32,33.16,33.84,
Calc annual,28.74,17.56,31.26,34.60,39.55,39.73,30.18,41.53,36.32,33.16,33.84,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,
