"MINDRUM, THORNINGTON HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3600,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.72,3.06,1.54,1.59,1.13,3.26,1.84,3.29,1.55,2.45,
February,,0.98,2.25,4.27,1.15,4.52,2.76,0.39,1.37,1.62,2.63,
March,,1.49,1.42,0.74,0.26,2.73,1.18,2.60,3.68,0.00,2.62,
April,,0.49,2.89,2.29,1.46,2.82,2.71,1.34,1.27,1.45,1.72,
May,,1.24,0.41,3.28,5.11,3.52,2.17,1.56,1.41,1.04,1.20,
June,,0.69,1.92,0.96,2.18,0.27,4.36,2.82,3.59,1.88,0.79,
July,,2.35,4.13,1.15,4.51,1.57,4.32,3.62,1.81,3.20,5.69,
August,,5.62,1.63,3.81,3.12,2.14,4.78,6.39,3.17,3.48,5.11,
September,,1.42,2.41,1.73,2.24,4.80,4.81,5.62,1.48,0.32,3.19,
October,,2.71,3.04,1.96,4.12,1.57,3.27,1.88,2.67,3.15,2.43,
November,,2.11,1.02,3.58,1.16,2.16,3.72,3.84,3.44,3.00,3.94,
December,,1.90,2.82,3.27,2.34,4.20,0.75,2.60,1.66,4.87,1.78,
Total,,24.72,27.00,28.58,29.24,31.43,38.09,34.50,28.84,25.56,33.55,
Calc annual,0.00,24.72,27.00,28.58,29.24,31.43,38.09,34.50,28.84,25.56,33.55,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,
