"DEAL (WELLINGTON ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,292,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,2.71,3.24,1.66,1.63,2.68,2.44,1.96,3.32,1.16,2.59,
February,,0.25,1.66,3.30,0.82,3.52,2.56,4.23,1.13,0.90,1.64,
March,,0.90,2.07,0.98,1.30,1.77,0.38,2.67,2.74,0.24,2.22,
April,,0.98,2.42,1.44,2.14,2.63,3.02,1.68,3.15,0.92,1.37,
May,,1.26,0.31,3.42,3.18,2.17,1.24,0.46,2.43,1.42,2.86,
June,,0.20,1.92,0.60,1.94,0.83,4.38,3.43,1.64,1.63,2.07,
July,,0.19,1.97,0.65,3.38,3.59,1.25,6.55,0.95,1.06,2.51,
August,,2.76,1.96,0.92,2.00,1.69,1.76,3.82,1.44,2.00,2.91,
September,,0.86,3.99,1.64,3.86,2.34,0.99,2.56,1.42,0.54,3.63,
October,,0.48,2.28,5.10,3.95,3.21,5.57,1.86,4.47,3.78,1.22,
November,,2.21,1.59,2.48,2.75,4.75,6.52,2.98,6.89,6.41,4.74,
December,,1.67,3.15,2.84,3.68,3.40,0.69,4.74,3.87,7.30,2.84,
Total,,14.47,26.56,25.03,30.63,32.58,30.80,36.44,33.45,27.36,30.60,
Calc annual,0.00,14.47,26.56,25.03,30.63,32.58,30.80,36.94,33.45,27.36,30.60,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.50,0.00,-0.00,0.00,
