"TATSFIELD, THE SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,70/7,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,2.61,2.67,5.64,0.87,3.59,
February,,,,,,,3.53,4.87,1.92,0.60,0.99,
March,,,,,,,0.42,4.02,2.38,0.04,1.99,
April,,,,,,,5.36,2.15,1.74,1.19,2.29,
May,,,,,,,1.64,1.16,2.49,2.36,3.69,
June,,,,,,,4.50,4.76,3.43,1.03,0.69,
July,,,,,,,2.08,2.59,2.65,2.51,,
August,,,,,,,4.46,5.38,2.70,2.41,,
September,,,,,,,0.91,5.66,0.78,0.18,,
October,,,,,,,3.22,2.04,4.91,3.54,,
November,,,,,,,7.21,3.18,3.15,7.83,,
December,,,,,,,0.49,4.94,4.13,7.70,,
Total,,,,,,,36.43,43.42,35.92,30.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.43,43.42,35.92,30.26,13.24,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,
