"ST AGNES TREVAUNANCE QUAY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,4.02,5.33,2.37,5.50,3.16,5.39,,,,,
February,,0.58,4.22,7.87,1.83,5.81,2.16,,,,,
March,,2.98,2.95,2.04,1.98,0.69,0.73,,,,,
April,,0.65,4.08,3.74,2.70,2.75,1.85,,,,,
May,,2.36,1.14,2.41,2.77,3.48,1.37,,,,,
June,,0.08,1.50,0.52,1.91,0.00,2.28,,,,,
July,,1.47,3.22,1.31,3.13,2.83,1.50,,,,,
August,,3.35,3.02,1.98,2.92,2.45,2.40,,,,,
September,2.45,0.62,3.23,2.17,2.85,2.66,0.78,,,,,
October,7.72,1.51,1.81,6.03,7.41,3.12,2.68,,,,,
November,2.62,4.74,1.37,2.80,3.67,2.43,5.08,,,,,
December,4.05,2.04,6.16,3.20,5.94,4.41,0.67,,,,,
Total,,24.40,38.03,36.44,42.61,33.79,26.89,35.66,,,,
Calc annual,16.84,24.40,38.03,36.44,42.61,33.79,26.89,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,35.66,NaN,NaN,NaN,
