"BEDFORD (THE PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1180,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.77,1.69,1.68,0.92,2.01,0.94,1.81,1.66,2.63,0.90,2.08,
February,0.38,0.53,1.40,2.02,0.55,1.49,2.98,2.34,1.10,1.00,0.50,
March,1.22,0.49,1.09,1.70,0.42,1.00,0.38,1.39,0.72,0.04,1.74,
April,2.63,0.80,2.61,1.41,2.02,1.04,2.96,1.58,1.48,1.31,1.77,
May,1.39,0.76,1.08,0.98,3.10,1.97,2.01,0.63,1.71,1.34,2.31,
June,1.11,0.46,0.95,0.41,1.80,0.01,2.78,2.82,2.18,0.78,0.26,
July,1.97,0.16,3.11,3.05,3.59,1.74,1.99,1.97,1.87,0.93,2.75,
August,0.81,1.46,2.58,1.83,1.94,1.68,0.85,3.06,2.15,0.66,1.80,
September,1.83,1.43,1.69,2.59,2.60,2.02,1.59,4.15,0.64,0.02,2.89,
October,1.00,1.10,0.42,3.14,2.90,3.08,2.07,1.10,2.40,2.45,0.97,
November,0.92,1.68,0.72,0.98,2.28,1.33,2.83,1.98,1.64,4.57,3.29,
December,1.53,0.98,1.21,1.75,2.82,1.31,0.43,2.28,2.11,3.57,2.17,
Total,16.56,11.54,18.54,20.78,26.03,17.61,22.68,24.96,20.63,17.57,22.53,
Calc annual,16.56,11.54,18.54,20.78,26.03,17.61,22.68,24.96,20.63,17.57,22.53,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
