"UPPINGHAM RIDLINGTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2523,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.44,2.64,3.22,1.25,2.23,1.54,3.22,1.93,4.70,1.40,2.91,
February,1.09,0.32,2.49,3.59,0.74,2.44,2.56,2.32,1.74,-999.00,0.73,
March,2.94,0.80,1.85,1.63,0.72,1.12,0.56,1.92,1.97,0.08,1.83,
April,4.65,1.18,3.33,1.82,2.19,1.68,2.26,1.95,0.91,1.26,3.19,
May,1.89,2.13,1.13,1.19,3.23,3.52,2.47,0.88,1.84,1.68,2.85,
June,2.06,0.68,0.93,0.69,2.78,0.06,2.14,4.72,3.36,1.20,1.00,
July,3.52,0.37,4.87,3.64,3.10,2.17,2.20,2.36,1.52,1.90,3.09,
August,1.25,2.64,5.29,2.11,2.24,2.10,1.40,4.37,3.02,1.80,2.80,
September,2.30,0.99,2.04,2.86,2.64,3.15,1.36,4.02,0.67,1.39,4.15,
October,1.10,2.54,0.90,3.36,4.85,3.12,1.98,2.03,3.56,3.15,1.61,
November,1.14,1.67,1.20,2.00,1.83,1.79,3.36,3.31,2.80,5.16,2.92,
December,2.28,2.28,3.35,2.48,2.54,2.10,0.64,2.33,2.45,4.47,1.96,
Total,26.66,18.24,30.60,26.62,29.09,24.79,24.15,32.14,28.54,24.06,29.04,
Calc annual,26.66,18.24,30.60,26.62,29.09,24.79,24.15,32.14,28.54,23.49,29.04,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,
