"BIRMINGHAM HANDSWORTH WOOD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,2.43,,,,,,,,,,
February,,0.24,,,,,,,,,,
March,,1.37,,,,,,,,,,
April,,1.22,,,,,,,,,,
May,,1.58,,,,,,,,,,
June,,0.69,,,,,,,,,,
July,,0.46,,,,,,,,,,
August,,5.21,,,,,,,,,,
September,,1.05,,,,,,,,,,
October,,1.87,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,16.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
