"HALESWORTH (THE BEECHES) ESTATE OFFICE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1371,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.02,,3.92,1.55,2.22,1.02,2.46,1.44,3.56,1.79,2.05,
February,0.72,,2.37,3.29,1.88,2.11,1.84,2.21,1.14,0.82,1.21,
March,0.91,,1.92,1.47,0.52,1.53,0.41,2.53,2.29,0.08,1.12,
April,3.29,,2.65,0.92,2.24,2.18,2.85,2.16,1.60,1.32,2.50,
May,1.36,1.01,0.96,1.42,4.43,2.11,1.57,1.08,1.80,1.09,2.49,
June,1.42,0.51,1.78,0.87,1.69,0.53,3.18,4.27,1.98,0.73,0.66,
July,2.77,0.31,3.54,2.29,2.77,1.79,2.42,2.59,2.18,4.06,3.83,
August,1.28,0.97,1.57,2.58,3.28,2.85,1.72,3.76,2.66,1.41,2.92,
September,2.98,1.70,3.48,1.59,4.25,2.49,0.84,3.47,0.85,0.67,5.62,
October,,0.93,1.40,3.66,4.57,2.48,2.75,1.81,1.83,2.82,0.74,
November,,1.80,1.61,2.97,1.57,3.52,3.47,3.80,2.59,3.69,3.67,
December,,1.48,1.78,3.18,2.69,2.62,0.95,3.17,3.75,4.47,2.39,
Total,,,26.98,25.79,32.11,25.23,24.46,32.29,26.23,22.95,29.20,
Calc annual,16.75,8.71,26.98,25.79,32.11,25.23,24.46,32.29,26.23,22.95,29.20,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
