"BALLINROBE (CREAGH HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR170,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,5.66,-999.00,6.57,6.64,8.60,7.76,,,,
February,,,7.48,7.78,1.30,5.66,5.81,3.91,,,,
March,,,3.04,3.34,1.82,1.14,1.95,6.69,,,,
April,,,3.40,3.75,3.94,4.54,2.48,1.74,,,,
May,,,2.66,1.18,6.00,5.26,3.86,2.40,,,,
June,,,1.31,1.84,3.70,0.37,4.00,6.41,,,,
July,,,4.84,2.66,4.32,4.00,1.64,2.71,,,,
August,,,4.29,6.95,4.95,6.23,3.59,7.73,,,,
September,,,4.15,5.73,7.78,2.93,3.06,5.18,,,,
October,,,2.76,6.45,5.44,3.95,4.47,3.90,,,,
November,,,2.85,3.50,5.69,5.37,8.32,3.97,,,,
December,,,6.45,3.24,11.63,4.50,0.84,4.49,,,,
Total,,,48.89,50.49,63.14,50.59,48.62,56.89,,,,
Calc annual,0.00,0.00,48.89,46.42,63.14,50.59,48.62,56.89,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,4.07,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,
