"TICHBORNE RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,5.69,2.04,2.46,4.26,6.24,2.92,,,,
February,,,3.48,5.79,,5.88,2.23,5.17,,,,
March,,,2.59,1.97,,0.82,0.49,4.28,,,,
April,,,3.21,4.85,,3.06,3.12,2.23,,,,
May,,,1.03,2.00,3.24,4.47,2.02,1.04,,,,
June,,,1.53,2.09,2.15,0.02,2.30,3.07,,,,
July,,,4.22,1.32,4.00,3.87,2.36,2.04,,,,
August,,,2.87,2.19,2.20,3.38,1.59,4.57,,,,
September,,,1.62,1.34,5.99,3.57,1.49,7.14,,,,
October,,,,5.20,4.30,4.04,2.69,2.61,,,,
November,,,,2.02,3.00,2.75,8.11,,,,,
December,,,,3.09,6.72,4.02,0.44,,,,,
Total,,,33.93,33.90,,40.14,33.08,,,,,
Calc annual,0.00,0.00,26.24,33.90,34.06,40.14,33.08,35.07,0.00,0.00,0.00,
Difference,NaN,NaN,7.69,0.00,NaN,0.00,0.00,NaN,NaN,NaN,NaN,
