"GLENLEVEN LOCH EILDE BEG",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5749,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,16.00,28.18,9.15,23.22,9.28,11.77,13.04,16.55,18.98,3.28,16.05,
February,16.50,9.60,11.37,9.03,7.29,8.26,7.48,5.92,11.82,3.23,1.79,
March,8.80,15.40,4.32,4.18,0.74,6.15,12.55,5.54,7.45,2.84,4.98,
April,4.25,3.40,3.65,4.47,5.09,9.93,5.50,12.27,4.78,4.27,3.29,
May,10.20,8.66,14.60,6.53,4.93,10.22,4.74,3.67,1.57,4.76,6.06,
June,2.60,2.00,6.30,5.64,6.54,2.90,4.90,8.27,8.12,4.55,5.94,
July,5.50,7.29,7.68,11.45,9.44,4.11,5.24,4.26,9.87,6.77,3.50,
August,7.40,7.42,6.22,10.08,6.38,4.75,8.21,6.98,9.59,11.09,10.38,
September,6.40,8.96,6.82,14.13,12.93,6.52,9.83,10.47,7.85,6.64,7.44,
October,4.30,12.57,4.63,20.24,7.72,8.82,8.73,12.47,12.70,15.26,14.22,
November,9.90,4.91,8.08,10.86,7.46,2.29,10.69,8.92,12.03,15.14,13.27,
December,5.35,30.01,15.91,10.42,18.36,10.58,11.55,1.02,8.40,18.12,9.43,
Total,97.20,138.40,98.73,130.25,96.16,86.30,102.46,96.34,113.16,95.95,96.35,
Calc annual,97.20,138.40,98.73,130.25,96.16,86.30,102.46,96.34,113.16,95.95,96.35,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
